Index,Open,High,Low,Close,adj,Volume
2016-09-26,137.070007,137.830002,137.020004,137.690002,133.177124,8661300
2016-09-27,138.589996,138.800003,137.949997,138.699997,134.154007,9450400
2016-09-28,138.5,139.149994,138.220001,138.399994,133.8638,7958700
2016-09-29,137.559998,139.070007,137.449997,138.75,134.202347,8319800
2016-09-30,138.550003,138.639999,136.869995,137.509995,133.002975,11747100
2016-10-03,137.679993,137.770004,136.759995,136.809998,132.564087,7588800
2016-10-04,136.619995,136.839996,135.160004,135.210007,131.013718,12048700
2016-10-05,135.020004,135.080002,134.119995,134.580002,130.403275,8917700
2016-10-06,133.970001,134.690002,133.679993,133.830002,129.67659,7839900
2016-10-07,133.929993,134.289993,133.089996,133.919998,129.763748,9953200
2016-10-10,132.850006,133.160004,132.509995,133.130005,128.998276,6086900
2016-10-11,132.860001,133.550003,132.570007,132.830002,128.707581,9670400
2016-10-12,132.669998,133.020004,132.240005,132.960007,128.833572,7582400
2016-10-13,133.639999,133.929993,133.369995,133.460007,129.318069,7080600
2016-10-14,132.270004,132.949997,131.529999,131.589996,127.506042,11415100
2016-10-17,132.100006,132.740005,132.089996,132.429993,128.319992,10595900
2016-10-18,131.860001,132.889999,131.830002,132.860001,128.736679,6935200
2016-10-19,132.369995,133.270004,132.320007,132.970001,128.843231,6941300
2016-10-20,133.639999,133.75,132.899994,133.110001,128.978882,6082300
2016-10-21,133.520004,133.720001,132.869995,133.309998,129.172699,9222700
2016-10-24,133.410004,133.449997,132.289993,132.729996,128.610641,6507500
2016-10-25,132.529999,133.559998,132.490005,133.080002,128.949799,5134700
2016-10-26,132.460007,132.800003,131.990005,132.179993,128.077789,5842500
2016-10-27,131.070007,131.070007,130.059998,130.740005,126.682434,10044700
2016-10-28,130.389999,130.929993,130.330002,130.449997,126.401451,7541000
2016-10-31,130.889999,131.289993,130.710007,131.25,127.176613,7047500
2016-11-01,130.160004,131.600006,129.880005,131.009995,127.18634,12622400
2016-11-02,131.300003,132.110001,131.029999,131.580002,127.7397,8666200
2016-11-03,130.75,131.050003,130.440002,130.570007,126.759201,6085400
2016-11-04,131.270004,131.789993,131.130005,131.740005,127.895027,7622600
2016-11-07,130.75,131,130.440002,130.619995,126.807693,5386700
2016-11-08,131.020004,131.210007,129.710007,130.089996,126.293198,7318500
2016-11-09,127.220001,127.370003,124.220001,124.57,120.934288,31233500
2016-11-10,123.970001,124.959999,122.720001,122.730003,119.147987,22961200
2016-11-11,122.959999,123.050003,121.650002,122.040001,118.478134,10040200
2016-11-14,121.279999,122.660004,120.730003,121.309998,117.769424,20071500
2016-11-15,122.220001,122.809998,121.779999,121.910004,118.351929,11963700
2016-11-16,122.300003,123.139999,122.169998,123.010002,119.4198,8874000
2016-11-17,121.949997,122.110001,120.989998,121.199997,117.662643,11221600
2016-11-18,121.629997,121.970001,120.339996,120.849998,117.322861,13577700
2016-11-21,121.209999,121.480003,120.889999,121.150002,117.614113,6488100
2016-11-22,121.660004,121.760002,120.879997,121.110001,117.575279,9989900
2016-11-23,119.989998,120.910004,119.25,120.639999,117.119011,13388600
2016-11-25,121.190002,121.290001,120.400002,120.82,117.293739,3126300
2016-11-28,121.410004,121.730003,121.089996,121.709999,118.157761,8555000
2016-11-29,121.440002,122.400002,121.209999,122.220001,118.652878,8363000
2016-11-30,119.970001,121.010002,119.480003,120.239998,116.730659,21163500
2016-12-01,118.510002,118.989998,117.639999,118.730003,115.498146,21715700
2016-12-02,119.169998,120.209999,119.139999,119.599998,116.34446,12487500
2016-12-05,118.93,120.400002,118.449997,119.470001,116.218018,12100100
2016-12-06,119.339996,119.940002,119.120003,119.379997,116.130463,11526600
2016-12-07,119.82,120.620003,119.82,120.400002,117.122696,10392200
2016-12-08,119.150002,119.309998,118.779999,118.980003,115.741333,12041100
2016-12-09,118.639999,118.860001,117.279999,117.5,114.301643,14646400
2016-12-12,117.269997,117.800003,116.879997,117.720001,114.515648,9496300
2016-12-13,118.400002,118.489998,117.440002,118.139999,114.924217,12189200
2016-12-14,119.080002,119.209999,116.800003,116.82,113.640144,16618400
2016-12-15,117.559998,118.290001,117.029999,117.410004,114.214088,12400500
2016-12-16,117.610001,117.919998,116.800003,117.139999,113.951439,13710700
2016-12-19,117.980003,118.580002,117.739998,118.400002,115.177132,10868300
2016-12-20,117.629997,117.900002,117.379997,117.809998,114.603195,7030600
2016-12-21,117.919998,118.400002,117.730003,118.330002,115.109047,4624700
2016-12-22,117.529999,118,117.5,117.809998,114.903244,5177800
2016-12-23,118.239998,118.389999,117.949997,118.050003,115.137329,4460200
2016-12-27,117.419998,117.699997,117.230003,117.669998,114.766708,5276600
2016-12-28,117.860001,118.879997,117.699997,118.529999,115.605476,7578600
2016-12-29,118.800003,119.269997,118.660004,118.949997,116.015121,8224400
2016-12-30,118.779999,119.650002,118.720001,119.129997,116.190651,10613900
2017-01-03,118.410004,119.989998,118.18,119.639999,116.688103,13217300
2017-01-04,119.760002,120.239998,119.449997,120.099998,117.136757,6699600
2017-01-05,120.449997,122.029999,120.169998,121.980003,118.97036,13265800
2017-01-06,121.129997,121.540001,120.75,120.860001,117.877983,8369300
2017-01-09,121.879997,122,121.459999,121.830002,118.824066,8767700
2017-01-10,121.550003,121.910004,121.279999,121.75,118.746033,8417900
2017-01-11,121.940002,122.690002,121.410004,122.160004,119.145943,9402500
2017-01-12,122.800003,123.139999,121.830002,121.889999,118.882584,9977600
2017-01-13,121.330002,121.75,120.620003,121.309998,118.316879,9820000
2017-01-17,122.809998,122.940002,121.989998,122.580002,119.555557,7300100
